uniprot,FC
P0C0L5,0.184759672
P02751,0.069056267
P19827,0.193301982
P02656,3.21038969
P09871,2.857691096
P02790,0.256146486
P01008,1.788995967
Q92954,2.210375182
P02765,0.328427569
P00747,0.468087266
P04004,2.104032865
P02749,0.510762465
Q14624,1.774462512
P00450,0.339668313
Q96PD5,1.678463302
P05155,1.33798421
P05546,1.343342021
P10909,0.480599964
P01042,1.327087495
P00742,0.628115865
P01019,0.442085347
P04217,0.651432719
P19823,1.374339584
P00738,1.436428554
O75882,1.538025209
P01024,0.628061092
P00748,0.483955498
P08603,0.709202024
P05543,1.317482762
P04114,0.766783407
P04196,1.174709128
O94804,0.866228389
Q5JWR5,0.930301029
P00734,0.955138956
Q04756,1.089289291
